location,latitude,longitude,altitude
"Deutschland, Schlesien; Thueringen",,,
"Deutschland, Schlesien; Thueringen; Berlin",,,
"Deutschland, Schleswig",54.51851,9.5653284,0.0
"Deutschland, Schleswig - Holstein",54.1853998,9.8220089,0.0
"Deutschland, Schleswig - Holstein, Achtrup",54.7913561,9.0270266,0.0
"Deutschland, Schleswig - Holstein, Westkueste",54.1946308,9.122438907042447,0.0
"Deutschland, Schleswig - Holstein; Nassau",,,
"Deutschland, Schleswig Holstein; Hannover",54.68373325,8.512357394106031,0.0
"Deutschland, Schleswig, Nord - Friesland",,,
"Deutschland, Schleswig, West - Kueste",,,
"Deutschland, Schleswig, Westkueste; Hessen",,,
"Deutschland, Schoenbeck a.d. Elbe",,,
"Deutschland, Schoenebeck a.d. Elbe",,,
"Deutschland, Schwaben",48.15313125,10.471291006038461,0.0
"Deutschland, Schwaben,",48.15313125,10.471291006038461,0.0
"Deutschland, Schwaben, Remstal",,,
"Deutschland, Schwaben, Tuttlingen",,,
"Deutschland, Schwaben, Ulm",48.39826685,10.013710816209347,0.0
"Deutschland, Schwaben; Brandenburg, Oranienburg",,,
"Deutschland, Schwaben; Rheinland",,,
"Deutschland, Schwaben; Schweiz",,,
"Deutschland, Schwarzwald; Rheinland, Koeln",49.9688827,8.2838251,0.0
"Deutschland, Schwedt a.d. Oder",,,
"Deutschland, Schweinfurt",50.0499945,10.233302,0.0
"Deutschland, Schweiz",51.3368088,7.6895689181931,0.0
"Deutschland, Siebengebirge",50.67552225,7.220990263792565,0.0
"Deutschland, Siegen",50.8749804,8.0227233,0.0
"Deutschland, Sued - Schwarzwald",50.07937570000001,8.654425199999999,0.0
"Deutschland, Sueddeutschland",48.72209665,9.121726353261868,0.0
"Deutschland, Sueddeutschland ?",48.72209665,9.121726353261868,0.0
"Deutschland, Sueddeutschland; Schlesien;",,,
"Deutschland, Sundgau",50.05052070000001,8.1908142,0.0
"Deutschland, Taunus, Niederreifenberg",,,
"Deutschland, Taunus, Wuerges",,,
"Deutschland, Taunus; Elsass",,,
"Deutschland, Taunus; Rheinland",50.1586649,8.5160414,0.0
"Deutschland, Thueringen",50.73331629999999,11.0747905,0.0
"Deutschland, Thueringen, Franken",50.9680152,11.4502537,0.0
"Deutschland, Thueringen, Thueringer Wald",50.747264200000004,10.656694224106593,0.0
"Deutschland, Thueringen; Sachsen",51.2876443,11.1685943,0.0
"Deutschland, Thueringen; Schlesien",,,
"Deutschland, Thueringen; Schwaben; Schlesien",,,
"Deutschland, Trebbin",52.215036100000006,13.2140282,0.0
"Deutschland, Trier",49.7596208,6.6441878,0.0
"Deutschland, Trier, Kluesserath",49.84239210000001,6.8471255000000015,0.0
"Deutschland, Uckermark",53.24526305,13.914861290058914,0.0
"Deutschland, Uckermark, Angermuende",53.017276,13.9981503,0.0
"Deutschland, Uckermark, Gramzow",53.1996922,13.9607915,0.0
"Deutschland, Uckermark, Granzow",,,
"Deutschland, Uckermark, Grenzow",,,
"Deutschland, Uckermark, Prenzlau",53.3167,13.866575,0.0
"Deutschland, Unter - Franken",52.208716,9.0739985,0.0
"Deutschland, Unter - Taunus, Hennethal",,,
"Deutschland, Unter - Taunus, Niederreifenberg",,,
"Deutschland, Unter - Taunus, Wuerges",,,
"Deutschland, Unter - Westerwald, Woelferlingen",,,
"Deutschland, Vogelsberg, Rabenau",,,
"Deutschland, Vogtland",50.54198905,12.028503867279465,0.0
"Deutschland, Vormark, Perleberg, Klein Welle",,,
"Deutschland, Weissenfels",51.1999793,11.9667857,0.0
"Deutschland, West - Holstein, Ditmarschen",,,
"Deutschland, West -; Mitteldeutschland",50.9795959,11.028035296493218,0.0
"Deutschland, Westerwald",50.55719865,7.785129302203658,0.0
