id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
han1035,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1035.krn,han/han1035.krn,kern,bbd98fb492b1b4b163f9c9ea8198b6c4
han1036,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1036.krn,han/han1036.krn,kern,fc14c29c469f4b6f112d40901d24f936
han1037,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1037.krn,han/han1037.krn,kern,d1fe88c0fcd396f7898f44dc009063de
han1038,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1038.krn,han/han1038.krn,kern,01079a2c5df17f7cd066ad625ca3b059
han1039,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1039.krn,han/han1039.krn,kern,f2ebf600719f575e8d354faa18c30467
han1040,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1040.krn,han/han1040.krn,kern,9689822d25805e40c9aafc1ce3303d65
han1041,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1041.krn,han/han1041.krn,kern,0c71cb380cb3ffa1f1109e4d3467d25d
han1042,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1042.krn,han/han1042.krn,kern,50145b21aff14fcd2ef7e94027e05846
han1043,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1043.krn,han/han1043.krn,kern,52d3f1382684e1c406dc159e03eb2c7d
han1044,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1044.krn,han/han1044.krn,kern,4305613545fd2a96543c4860317a913c
han1045,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1045.krn,han/han1045.krn,kern,5506f4044c9b212def19154882f8c05a
han1046,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1046.krn,han/han1046.krn,kern,9711df19815d952a9a560e063c0508cf
han1047,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1047.krn,han/han1047.krn,kern,077ff497091ddec7a5210e0fcff2b127
han1048,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1048.krn,han/han1048.krn,kern,2e9c483f38e2835ada82653f328a25cb
han1049,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1049.krn,han/han1049.krn,kern,014ecb42483d85cd35c0f216c376f059
han1050,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1050.krn,han/han1050.krn,kern,115c6fe9eb559fcea6e4984e2b07e51a
han1051,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1051.krn,han/han1051.krn,kern,06995afe8fab39fdcea9c443a285e5e0
han1052,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1052.krn,han/han1052.krn,kern,c04282dc29c351d61d892d579581e057
han1053,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1053.krn,han/han1053.krn,kern,e345504cd918104a447b9a573cd42442
han1054,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1054.krn,han/han1054.krn,kern,505082296ea6257edfc5f81b5d1422ab
han1055,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1055.krn,han/han1055.krn,kern,83114f85d055a79601033d2ce6a9cc9e
han1056,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1056.krn,han/han1056.krn,kern,523bf142dcd90cdede82ce70b02ab65d
han1057,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1057.krn,han/han1057.krn,kern,b271e874bd8f2701f42c194c0c816e9a
han1058,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1058.krn,han/han1058.krn,kern,a3ea7c57072433fb71c219bc7926cf2a
han1059,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1059.krn,han/han1059.krn,kern,e122d338cabbce47032c4b53e6ff2fd4
han1060,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1060.krn,han/han1060.krn,kern,f0d2291c0c5fc1e15c9b0d493e2f2554
han1061,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1061.krn,han/han1061.krn,kern,7351926f7283a85018a4251cc98c21ca
