id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder
p0778,Dreikönigslied ,,Lothringen,,,,,,,pinck1926verklingende1,17,,,,,,,,4/4 ,,octatonic major,G,7,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0778.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0778.krn,p0778.krn,kern,52459b15502cf1ef1a9f1eff67333310,Damien Sagrillo
p0779,Dreikönigslied ,,Lothringen,,,,,,,pinck1926verklingende1,21,,,,,,,,3/4 ,,hexatonic minor,G,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0779.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0779.krn,p0779.krn,kern,65a0e25d48a5b5e6e247a89abe5fcc6d,Damien Sagrillo
p0780,Die Flucht nach Ägypten ,,Lothringen,,,,,,,pinck1926verklingende1,23,,,,,,,,free,,heptatonic minor,A,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0780.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0780.krn,p0780.krn,kern,699b966c957fd7206f57e7bf0eda491f,Damien Sagrillo
p0781,Da unser Herr Jesus am Tischlein sa&szlig; ,,Lothringen,,,,,,,pinck1926verklingende1,26,,,,,,,,3/4 ,,hexatonic minor,D,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0781.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0781.krn,p0781.krn,kern,5ed41ab1fc471d25a5dbc70936b5aa31,Damien Sagrillo
p0782,Karfreitagslied ,,Lothringen,,,,,,,pinck1926verklingende1,28,,,,,,,,4/4 ,,heptatonic ionian,D,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0782.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0782.krn,p0782.krn,kern,4d44eb3a768db4d0160a0be17eccbc93,Damien Sagrillo
p0783,Tationenlied ,,Lothringen,,,,,,,pinck1926verklingende1,31,,,,,,,,4/4 ,,heptatonic ionian,D,9b,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0783.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0783.krn,p0783.krn,kern,654264811ea4f6b971b05a83cef219ed,Damien Sagrillo
p0784,Maria wollt auswandern ,,Lothringen,,,,,,,pinck1926verklingende1,36,,,,,,,,4/4 ,,heptatonic ionian,F,9,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0784.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0784.krn,p0784.krn,kern,b09a4bcd914d855b60f871848e6c697f,Damien Sagrillo
p0785,"Maria, die ging wohl &uuml;ber Land ",,Lothringen,,,,,,,pinck1926verklingende1,39,,,,,,,,4/4 ,,heptatonic minor,A,7b,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0785.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0785.krn,p0785.krn,kern,2e522885845051b221e152c728aa6a93,Damien Sagrillo
p0786,"O Königin, mildreiche Frau ",,Lothringen,,,,,,,pinck1926verklingende1,41,,,,,,,,free,,hexatonic minor,G,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0786.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0786.krn,p0786.krn,kern,2441913b8dbfbaad82ddfd6c877e9b9a,Damien Sagrillo
p0787,Katharinenlied ,,Lothringen,,,,,,,pinck1926verklingende1,43,,,,,,,,4/4 ,,octatonic minor w/o 6,A,9,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0787.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0787.krn,p0787.krn,kern,d3414961030e4817a358dffd2d9282aa,Damien Sagrillo
p0788,Lazarus und der Prasser ,,Lothringen,,,,,,,pinck1926verklingende1,46,,,,,,,,2/4 ,,pentatonic major,F,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0788.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0788.krn,p0788.krn,kern,fcc8a39d251618bcea73ee4fafece797,Damien Sagrillo
p0789,Falkenlied ,,Lothringen,,,,,,,pinck1926verklingende1,49,,,,,,,,free,,hexatonic minor,G,6b,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0789.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0789.krn,p0789.krn,kern,057a0a96665f59eec563e9b122e24207,Damien Sagrillo
p0790,Eine arme Seel wollt wanderen gehn ,,Lothringen,,,,,,,pinck1926verklingende1,53,,,,,,,,3/4 ,,heptatonic minor,E,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0790.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0790.krn,p0790.krn,kern,fd9b4dbf2a3b55bace404221b548d34f,Damien Sagrillo
p0791,Was batt mich ein schönes Haus ,,Lothringen,,,,,,,pinck1926verklingende1,55,,,,,,,,4/4 ,,octatonic minor w/o 6,G,8,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0791.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0791.krn,p0791.krn,kern,155f876f3d95d51f083c8c2df733a004,Damien Sagrillo
p0792,Da kommen die vier schwarzen Br&uuml;der ,,Lothringen,,,,,,,pinck1926verklingende1,57,,,,,,,,2/4 ,,hexatonic minor,G,8,False,True,"geistliche, religiöse Lieder, Tod",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0792.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0792.krn,p0792.krn,kern,229efd49c48ce558d4339fa6d9793d32,Damien Sagrillo
p0793,Es wollt sich ein Herr ausreiten ,,Lothringen,,,,,,,pinck1926verklingende1,59,,,,,,,,4/4 ,,heptatonic ionian,G,7b,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0793.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0793.krn,p0793.krn,kern,11767b68d4338337dcf464ad67d323b6,Damien Sagrillo
p0794,Es wollt ein M&auml;dchen fr&uuml;h aufstehn,,Lothringen,,,,,,,pinck1926verklingende1,,,,,,,,,free,,hexatonic minor,E,6,False,True,"???, Standesunterschied?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0794.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0794.krn,p0794.krn,kern,f0c6070add1b910c07012c7411c195da,Damien Sagrillo
p0795,Am Dienstag z' Morgen in aller fr&uuml;h ,,Lothringen,,,,,,,pinck1926verklingende1,65,,,,,,,,2/4 3/4 ,,heptatonic ionian,G,9,False,True,"???, Magie",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0795.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0795.krn,p0795.krn,kern,eaec6970d702c80bf74f15645aacecb2,Damien Sagrillo
p0796,Es war einmal ein M&auml;dchen ,,Lothringen,,,,,,,pinck1926verklingende1,66,,,,,,,,2/4 ,,hexatonic minor,A,8,False,True,"Liebe, Standesunterschied, Hochzeit, Tod",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0796.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0796.krn,p0796.krn,kern,4545d63081fc743b2c331f576178bc95,Damien Sagrillo
p0798,"Nun adje, jetzt mu&szlig; ich reiten fort ",,Lothringen,,,,,,,pinck1926verklingende1, 71,,,,,,,,4/4 ,,heptatonic ionian,G,8,False,True,"Abschied, Tod",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0798.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0798.krn,p0798.krn,kern,4d13d556e734263b4611050370e43a5c,Damien Sagrillo
p0799,Es war einmal ein Kaufmannssohn ,,Lothringen,,,,,,,pinck1926verklingende1,75,,,,,,,,2/4 ,,heptatonic melodic minor,F,9b,False,True,"Liebe, Standesunterschied, Mord",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0799.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0799.krn,p0799.krn,kern,986c4f11718cff90ebdb3cdef165ccd4,Damien Sagrillo
p0800,Graf Friedrich wollt ausreiten ,,Lothringen,,,,,,,pinck1926verklingende1,77,,,,,,,,free,,heptatonic ionian,F,8,False,True,"Liebe, Unfall, Tod",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0800.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0800.krn,p0800.krn,kern,64007a3ef2286f1c900e6704721776cd,Damien Sagrillo
p0801,Graf Backewill ,,Lothringen,,,,,,,pinck1926verklingende1, 81,,,,,,,,free,,octatonic,F,8,False,True,"Kriegslied, Gefangenschaft, Liebe",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0801.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0801.krn,p0801.krn,kern,70f7c68d69d8ce5d04f30e22a32232c6,Damien Sagrillo
p0802,"Wo fehlt es dir, mein Herz ",,Lothringen,,,,,,,pinck1926verklingende1,87,,,,,,,,4/4 ,,heptatonic ionian,G,9b,False,True,Liebesklage?,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0802.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0802.krn,p0802.krn,kern,3157813aa82f1cb2b9caf7a3b604066d,Damien Sagrillo
