id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
NHSDiscography-068,Musahowelele likishi la Mulena,,"Wuaskile Compound, Nkana Mine NR, Zambia",-12.830995,28.196626000000002,Lozi,1949,,,"""Musahowelele likishi la Mulena"" [Tape 72]. On C3X-10 [Acetate record]. Johannesburg, South Africa: International Library of African Music (1949)",,,On C3X-10 [Acetate record],International Library of African Music ,"Johannesburg, South Africa",,Tape 72,1949,,,,,,,,,,27,,,Dance,,,,,Transcriptions/xml_raw/NHSDiscography-068.xml,xml,3b26d6f9db07c859ff32e5b06c17fa60
NHSDiscography-069,Canción de amor (canto de entretenimiento),,"San Sebastián, Mexico",20.7618,-104.852,Huichol,1898,,,"""Canción de amor (canto de entretenimiento)"" [Track 14]. On Música y Cantos para la Luz y los Ocuridad: 100 años de Testimonios de los Pueblos Indígenas: Música y Cantos Huicholes Grabados por Carl Lumholtz [CD]. Mexico: Comisión para el Desarrollo de los Pueblos Indígenas (2005)",,,On Música y Cantos para la Luz y los Ocuridad: 100 años de Testimonios de los Pueblos Indígenas: Música y Cantos Huicholes Grabados por Carl Lumholtz [CD],Comisión para el Desarrollo de los Pueblos Indígenas ,Mexico,,Track 14,2005,,,,,,,,,,17,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-069.xml,xml,66631b0f52e1bcadb233aeb482296aba
NHSDiscography-070,Deux berceuses de l'Ile des Pins,,"Vao, New Caledonia",-22.67,167.5,Kanaks,1984,,,"""Deux berceuses de l'Ile des Pins"" [Track 15]. On Chants Kanaks [CD]. Arles, France: Harmonia Mundi (1990)",,,On Chants Kanaks [CD],Harmonia Mundi ,"Arles, France",,Track 15,1990,,,,,,,,,,7,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-070.xml,xml,3c7504d819d57186b2346ebf98ffeb92
NHSDiscography-071,Lullaby,,"Leros, Greece",37.16,26.84,Greeks,1998,,,"""Lullaby"" [Disc 1, Track 6]. On Tēs Leros Ta Tragoudia [CD]. Leros, Greece: Music Folklore Archive (1998)",,,On Tēs Leros Ta Tragoudia [CD],Music Folklore Archive ,"Leros, Greece",,"Disc 1, Track 6",1998,,,,,,,,,,9,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-071.xml,xml,443970b2adb796cc7dea0fda7a9b1bdd
NHSDiscography-072,Tsimshian blanket dance song,,"Yakutat, Alaska, USA",59.5469,-139.7272,Tlingit,pre-1981,,,"""Tsimshian blanket dance song"" [Side 2, Track 4]. On Southeast Alaska Folk Tradition, Vol. 1: Exploration and Discovery, 1786-1897 [LP]. New York: Folkways Records (1981)",,,"On Southeast Alaska Folk Tradition, Vol","Exploration and Discovery, 1786-1897 [LP]. New York: Folkways Records ",1,,"Side 2, Track 4",1981,,,,,,,,,,12,,,Dance,,,,,Transcriptions/xml_raw/NHSDiscography-072.xml,xml,bbb3dc6074d273d24872f2dec2bb8d9a
NHSDiscography-073,Lullaby,,"Timbuktu, Mali",16.7758,-3.0094,Tuareg,pre-1939,,,"""Lullaby"" [Track 6, Song 3]. On African Music [LP]. New York: Folkways Records (1957)",,,On African Music [LP],Folkways Records ,New York,,"Track 6, Song 3",1957,,,,,,,,,,9,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-073.xml,xml,8fd4d5e34bc00e64beeb8934810ee5aa
NHSDiscography-074,Canto de amor,,"Morelos and Guerrero, Mexico",18.238,-99.2305,Nahua,1962-1968,,,"""Canto de amor"" [Track 2]. On In Xóchitl in Cuícatl [CD]. Mexico City: Instituto Nacional de Antropología e Historia (2002)",,,On In Xóchitl in Cuícatl [CD],Instituto Nacional de Antropología e Historia ,Mexico City,,Track 2,2002,,,,,,,,,,12,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-074.xml,xml,bb9c214eba3ce90a50e79dc74642bd90
NHSDiscography-075,Little woman doctor song,,"British Columbia, Canada",54.0,-125.0,Kwakwaka'wakw,1947-1953,,,"""Little woman doctor song"" [Side 3, Track 6]. On Indian Music of the Pacific Northwest Coast [LP]. New York: Folkways Records (1967)",,,On Indian Music of the Pacific Northwest Coast [LP],Folkways Records ,New York,,"Side 3, Track 6",1967,,,,,,,,,,10,,,Healing,,,,,Transcriptions/xml_raw/NHSDiscography-075.xml,xml,15054c59bbbf0f4a4ba76ff4fb9dc18b
NHSDiscography-076,"Tolema, tolema-ey",,"Nakua, Nyangatom, South Omo Zone, Ethiopia",4.58,35.49,Nyangatom,2012,,,"""Tolema, tolema-ey"". Unpublished recording acquired from Hannah Wild (2012).",,,Unpublished recording acquired from Hannah Wild (2012),,,,,,,,,,,,,,,15,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-076.xml,xml,914ddb6db8f16dfb85f1cd03ffa661ad
NHSDiscography-077,Lovers' song,,"Punta Arenas, Chile",-53.1638,-70.9171,Alacaluf,1996,,,"""Lovers' song"" [Track ALC001R001]. On AILLA's South American Languages Collection [Audio]. Austin: www.ailla.utexas.org (2006)",,,On AILLA's South American Languages Collection [Audio],www.ailla.utexas.org ,Austin,,Track ALC001R001,2006,,,,,,,,,,10,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-077.xml,xml,fab1de506e766a8693bac3d92ea50027
NHSDiscography-078,Festive song,,"Esmeraldas, Ecuador",0.95,-79.66670000000002,Chachi,pre-1986,,,"""Festive song"" [Track 6]. On Lowland Tribes of Ecuador [CD]. New York: Smithsonian Folkways Recordings (2001)",,,On Lowland Tribes of Ecuador [CD],Smithsonian Folkways Recordings ,New York,,Track 6,2001,,,,,,,,,,13,,,Dance,,,,,Transcriptions/xml_raw/NHSDiscography-078.xml,xml,d06cb35310ffb5aedc34fc920c744ce7
NHSDiscography-079,Men's standing dance,,"Lukaf, Pulap, Chuuk, Federated States of Micronesia",7.5381681999999905,149.421444,Chuuk,1984,,,"""Men's standing dance"" [Track 25]. On Spirit of Micronesia [CD]. Wotton-under-Edge, Gloucestershire, United Kingdom: Saydisc Records (1995)",,,On Spirit of Micronesia [CD],Saydisc Records ,"Wotton-under-Edge, Gloucestershire, United Kingdom",,Track 25,1995,,,,,,,,,,13,,,Dance,,,,,Transcriptions/xml_raw/NHSDiscography-079.xml,xml,24a1d2f2d5cbadc68519242effa9f554
NHSDiscography-080,Third song when treating the sick,,"Yuma Reservation, California, USA",32.784444,-114.645278,Quechan,1922,,,"""Third song when treating the sick"" [Track 8]. On Healing Songs of the American Indians [CD]. New York: Smithsonian Folkways Records (2000)",,,On Healing Songs of the American Indians [CD],Smithsonian Folkways Records ,New York,,Track 8,2000,,,,,,,,,,10,,,Healing,,,,,Transcriptions/xml_raw/NHSDiscography-080.xml,xml,7fa6671666bf7bc27c04b5d92109f90d
